Type,MAT,TS,CT,TM,Shape,Size,Zeta Potential,Admin,DE_tumor
ONM,Hydrogel,Passive,Liver,Allograft Heterotopic,Spherical,2.0266585341189347,17.819826242613917,0.7870039948116647,3.167591665627307
ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,2.2376581064715664,-4.719739181125009,15.963938147241926,0.10407718540759045
ONM,Polymeric,Passive,Liver,Xenograft Heterotopic,Spherical,2.361273918025219,-6.255877110153479,36.45578346364954,0.3960371043951477
ONM,Polymeric,Active,Liver,Xenograft Heterotopic,Spherical,1.9781290621658623,-13.18794503036644,1.7273621049996772,0.1450473872051219
ONM,Polymeric,Passive,Colon,Allograft Heterotopic,Spherical,1.9461801618457695,-4.673519897446968,18.813907224532848,0.9136091781815054
ONM,Other OM,Active,Liver,Allograft Heterotopic,Spherical,2.3089771666728605,-13.228438469942168,4.029494901089707,8.491465523335126
ONM,Liposome,Passive,Brain,Xenograft Heterotopic,Spherical,1.8981055309943609,-4.867114929021488,35.93869572871273,0.36975855490025483
ONM,Hydrogel,Active,Liver,Allograft Heterotopic,Spherical,2.263455842234533,-42.95715262248242,7.734218661130271,0.2570875247912588
ONM,Other OM,Passive,Breast,Xenograft Heterotopic,Spherical,1.0342779133704982,-4.710987462283169,13.604768263845889,0.6157707875729552
INM,Gold,Active,Skin,Allograft Orthotopic,Spherical,1.2868689369732471,-2.400148921752484,8.556762486148742,6.9508045647789105
ONM,Polymeric,Passive,Lung,Xenograft Heterotopic,Spherical,1.8688102548873815,-2.6860373861553426,36.31184924817632,0.3979466361514581
ONM,Polymeric,Active,Cervix,Allograft Heterotopic,Spherical,2.4570101295298596,-10.250315858244662,4.5246175772892725,1.134231274111856
Hybrid,Other OM,Active,Brain,Xenograft Heterotopic,Spherical,2.6456500716025597,-22.87536120401053,57.860103640000005,4.396525317655345
ONM,Polymeric,Passive,Lung,Xenograft Heterotopic,Spherical,2.1063624426385514,-2.307534075794431,20.504361751965437,0.45235669885933005
INM,Silica,Passive,Skin,Xenograft Orthotopic,Spherical,2.128569712805726,-26.50375716154767,53.577111971627716,0.04157406719023136
ONM,Other OM,Passive,Breast,Allograft Heterotopic,Spherical,2.1777316686416186,-10.406463354353967,4.176518186789964,0.2730561117924566
ONM,Polymeric,Passive,Skin,Xenograft Orthotopic,Spherical,1.233551279554913,-0.9517777453383751,4.845042134301462,0.17122933146193325
ONM,Polymeric,Passive,Colon,Allograft Heterotopic,Spherical,1.2346578316036687,-0.5663480451205383,0.42530829043963975,0.6584211415398793
INM,Gold,Passive,Skin,Xenograft Orthotopic,Spherical,1.2615196768140264,-17.36123526694541,27.62174857078298,0.5656784293562591
ONM,Polymeric,Active,Glioma,Allograft Orthotopic,Spherical,1.8852259082779157,3.5405068443703698,0.5611331240410158,0.2560533116276478
ONM,Other OM,Passive,Lung,Xenograft Heterotopic,Rod,1.569973659192169,-8.064235881762514,5.832061644150072,0.3888197628354979
ONM,Polymeric,Active,Breast,Xenograft Heterotopic,Spherical,1.3835715239959407,-3.3879509346388303,14.477696498015069,0.5988097578802789
Hybrid,Hybrid,Active,Liver,Xenograft Heterotopic,Spherical,2.121594067847909,19.54350403026239,2.645079481164167,8.9007979892481
ONM,Polymeric,Active,Liver,Allograft Heterotopic,Plate,1.3722857676097702,-12.333921657280815,5.43588649289482,0.6500856477141908
ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,2.0805833638575826,-5.988514038021126,3.7543423599473913,0.25577012984370295
INM,Iron Oxide,Passive,Prostate,Xenograft Heterotopic,Spherical,1.3125813170303877,-2.163610706340288,53.906376700625664,0.34641996488954907
ONM,Other OM,Passive,Liver,Allograft Heterotopic,Rod,1.6362841717829424,-15.559152233407712,5.036422912661651,0.07961213233708564
INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,1.2328492828937054,-18.739733861492233,3.0944473888286907,2.571041010193358
ONM,Liposome,Active,Brain,Xenograft Heterotopic,Spherical,2.3155901538419514,-20.41136354301372,1.223808435973659,0.9894267031348476
ONM,Other OM,Passive,Lung,Xenograft Heterotopic,Rod,1.7066498233033147,-17.94250450081393,42.91986783161058,0.034720655620941863
INM,Other IM,Passive,Breast,Xenograft Orthotopic,Rod,2.1396358521790595,-4.711345020326496,7.460720138105762,0.000174073
ONM,Other OM,Passive,Liver,Allograft Heterotopic,Spherical,2.0344405132254386,23.40400621882597,4.934157373727839,0.24822957528876283
ONM,Polymeric,Active,Breast,Allograft Heterotopic,Rod,1.33100329597112,-2.096978897009931,5.433821704402746,3.1996458160569548
ONM,Polymeric,Passive,Breast,Xenograft Heterotopic,Spherical,1.7276040347943504,-18.833064083832628,3.5649957135040387,0.18695872287540016
ONM,Dendrimer,Active,Liver,Allograft Heterotopic,Spherical,2.178378249745864,-15.673842595935728,31.680007099214514,0.3833546206992346
ONM,Other OM,Passive,Liver,Allograft Heterotopic,Rod,2.3084955896995885,2.39709154369341,25.4625874171151,0.6127726212621329
ONM,Other OM,Passive,Liver,Allograft Heterotopic,Rod,2.2239119421321405,-28.429535777505656,27.005469496910745,0.020212749307216088
ONM,Other IM,Passive,Cervix,Xenograft Heterotopic,Spherical,1.733099608631946,-1.4766963067051797,3.7780812204057286,0.0950028026415571
INM,Gold,Passive,Breast,Allograft Heterotopic,Others,1.7713302854197992,-1.6591581673348241,4.639231119147386,2.7600735974615707
ONM,Polymeric,Passive,Colon,Allograft Heterotopic,Spherical,1.768429486294546,1.7592277789968715,57.860103640000005,0.4301117533176231
INM,Gold,Passive,Skin,Allograft Orthotopic,Rod,1.0876437567424249,-30.719734743426244,19.34018444305808,0.49314816740414114
ONM,Other OM,Active,Breast,Xenograft Heterotopic,Rod,2.4402885902837963,-3.3795713874271858,9.923290251487764,4.137934142546664
ONM,Other OM,Passive,Liver,Allograft Heterotopic,Spherical,1.9551323353290706,5.659864454397309,4.949482778439149,0.000174073
INM,Polymeric,Passive,Pancreas,Xenograft Heterotopic,Spherical,1.7778364065174506,-43.28253988111754,4.349831053639158,0.2736115379284498
INM,Gold,Passive,Breast,Xenograft Heterotopic,Rod,1.4820533932945028,-17.260117154952773,2.5852318952497826,6.6300734253742695
ONM,Liposome,Passive,Others,Xenograft Heterotopic,Spherical,2.118209577319542,-57.114386528398605,15.427168048877999,0.2540732845278243
ONM,Other OM,Active,Skin,Allograft Orthotopic,Spherical,2.186181105899427,-13.379564357130127,4.26646334812585,0.4167694754009804
ONM,Polymeric,Active,Sarcoma,Allograft Orthotopic,Spherical,1.2192287848977064,-27.313856478770415,3.8998590607444568,0.13153247789302905
ONM,Other OM,Active,Pancreas,Xenograft Heterotopic,Plate,1.754611645411871,-2.1996195202621704,5.036901233304419,0.08584624293364876
ONM,Other OM,Active,Sarcoma,Allograft Heterotopic,Spherical,1.984206288970665,-8.557717946501,1.18384511691014,7.797047514507721
INM,Other IM,Passive,Breast,Allograft Heterotopic,Spherical,2.0856523452389433,-4.357642498443987,57.860103640000005,0.1433700296252108
INM,Gold,Passive,Pancreas,Xenograft Heterotopic,Others,1.0820736726767635,-1.301435147654367,4.6508296335919,1.5763909562351595
INM,Iron Oxide,Passive,Brain,Xenograft Heterotopic,Others,1.4857086872401446,-1.3243803243586256,28.0154410682516,1.774569048416279
ONM,Liposome,Passive,Liver,Xenograft Heterotopic,Rod,2.0594911783070726,-29.502760693836613,55.43419856209544,0.000174073
INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,0.6316994535574392,-14.30922231950491,3.5854988773293055,0.35155518053663687
ONM,Other OM,Passive,Skin,Allograft Orthotopic,Rod,1.9465944337186274,-14.745484810896967,28.507807173883265,0.2432920505210233
ONM,Other OM,Passive,Skin,Allograft Orthotopic,Spherical,2.1281113288023064,-39.48679540208091,4.160024007144327,0.000174073
INM,Other OM,Passive,Lung,Allograft Heterotopic,Plate,2.0747150516933988,-6.782192062903358,3.9789535302031833,1.16088088306415
ONM,Other OM,Passive,Liver,Allograft Heterotopic,Rod,2.370338666828395,-7.572835603856845,13.900045870147604,0.14295277907698964
INM,Other IM,Active,Breast,Allograft Heterotopic,Spherical,2.498911706519438,-9.961699036076103,6.537586431253972,4.474388676277726
Hybrid,Other OM,Active,Liver,Allograft Heterotopic,Rod,2.427102222826547,-17.988798506286884,6.366543075331849,0.2429263783327608
INM,Other IM,Active,Cervix,Xenograft Heterotopic,Spherical,1.9443207733853345,51.9561637910942,7.443872044005472,1.5799350757050354
INM,Gold,Active,Breast,Xenograft Heterotopic,Rod,1.44614473714432,3.087046490773851,5.083656304587816,0.9651329001123652
ONM,Other OM,Active,Pancreas,Xenograft Heterotopic,Others,2.109031961597272,-59.605599938753954,10.371747190353785,0.08633414254592049
ONM,Other OM,Passive,Sarcoma,Allograft Orthotopic,Plate,1.3466731938949288,-0.949992334609596,4.373129128156497,0.23627704724308216
ONM,Polymeric,Active,Brain,Xenograft Orthotopic,Spherical,1.8597992968419528,-3.9876520889139546,54.89860741309722,0.30039558586338616
ONM,Other OM,Active,Skin,Allograft Orthotopic,Spherical,2.065658830394017,-18.316377324027727,10.551443143348324,0.8031804055784686
INM,Other IM,Active,Lung,Xenograft Heterotopic,Plate,2.309165041691708,5.4542866334571425,4.929825589318715,0.3158125791783729
ONM,Other OM,Passive,Skin,Allograft Orthotopic,Rod,0.9758258666964303,-21.70422566843178,3.4103791023972363,0.6662976563563747
ONM,Other OM,Active,Lung,Xenograft Heterotopic,Plate,1.3911879609432038,-2.3764475375519796,13.049343361935838,0.45344337428736153
ONM,Polymeric,Active,Lung,Xenograft Heterotopic,Spherical,1.8519830972921647,7.4217890516544,5.565633971495353,0.34183302775491453
ONM,Other OM,Active,Skin,Xenograft Orthotopic,Spherical,1.1837753871230685,-5.649326462488197,5.063655572511958,0.29848896340731346
ONM,Liposome,Passive,Sarcoma,Xenograft Heterotopic,Spherical,2.0525085453206287,-19.623983044874635,5.1978783415333085,0.8649971302134956
ONM,Liposome,Passive,Liver,Allograft Heterotopic,Spherical,2.1168305185795058,-27.653935301331366,32.125254108583896,0.31023222822663493
ONM,Liposome,Passive,Colon,Xenograft Heterotopic,Spherical,2.1184149231768177,-4.558374939642694,24.020625971431915,0.4501330756625787
INM,Gold,Active,Cervix,Xenograft Orthotopic,Rod,1.0123039665494673,2.4645413581002984,5.7297115842084505,1.3656034321213046
ONM,Other OM,Passive,Breast,Xenograft Heterotopic,Plate,1.950012856751128,1.221645720356896,4.526281026000901,0.8234282995969218
ONM,Polymeric,Passive,Ovary,Xenograft Orthotopic,Rod,2.1202567683993108,-0.3869838218459023,3.1231724240512637,0.000174073
ONM,Polymeric,Active,Cervix,Xenograft Heterotopic,Spherical,2.000185530483563,-12.200783453863727,4.883442220080145,0.4561676658688454
INM,Hybrid,Active,Others,Xenograft Orthotopic,Spherical,2.081597937425028,1.221407231864962,51.25861592193007,0.3756850989018066
ONM,Other OM,Active,Breast,Allograft Heterotopic,Plate,1.413177685227575,-11.932974332026495,4.020280875888929,0.1748715520240713
ONM,Other OM,Passive,Breast,Allograft Heterotopic,Spherical,1.9286361786006632,-4.209915742173939,5.432017886356855,0.000174073
INM,Other IM,Active,Glioma,Xenograft Orthotopic,Spherical,1.9128521617106025,-23.605576953011767,4.56734094234043,0.013818082398913405
ONM,Other OM,Passive,Breast,Xenograft Heterotopic,Spherical,2.4005552078201147,-45.967841113550406,9.240776706094408,1.193594635743604
INM,Gold,Passive,Brain,Xenograft Heterotopic,Spherical,1.9554558774118809,-8.715630474236985,11.132653687463131,0.4270992115634692
INM,Iron Oxide,Passive,Brain,Xenograft Heterotopic,Others,1.4514902032271964,-0.8406933085015229,4.573160895647366,0.36727075129791903
INM,Iron Oxide,Passive,Others,Xenograft Heterotopic,Spherical,0.8866401858758123,-22.39440276922983,45.53750923038925,0.220596982393974
ONM,Other OM,Passive,Breast,Allograft Heterotopic,Spherical,2.464645865013738,-20.075436357774276,40.89800885003755,0.6851662350761034
ONM,Other OM,Passive,Lung,Xenograft Heterotopic,Spherical,1.9973156634979723,-4.809026344665062,27.15597995041646,0.0589420464386764
INM,Iron Oxide,Passive,Cervix,Xenograft Heterotopic,Spherical,1.8340341619100389,7.9289749226956445,2.644118297869899,0.9936010572689555
ONM,Liposome,Passive,Pancreas,Xenograft Heterotopic,Spherical,2.3753030973323,-27.877171740014347,15.24130618753787,0.5228155167803115
ONM,Liposome,Passive,Ovary,Xenograft Orthotopic,Spherical,0.7760994086856776,-0.1430818294546654,20.517044074724083,0.1263984384192538
ONM,Other OM,Passive,Breast,Xenograft Heterotopic,Rod,2.04836028281837,-11.698842057834952,36.705803867446285,0.7802179067907764
INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,1.7105267539477866,-2.868848574104731,27.406788327143015,2.866098579811706
ONM,Polymeric,Passive,Breast,Xenograft Heterotopic,Spherical,2.174111209545071,39.65535513786915,0.8651675853295158,8.796006700685988
INM,Hybrid,Passive,Breast,Allograft Heterotopic,Spherical,2.005704027877887,-1.740219391225979,20.673104865628034,1.8345126765359074
ONM,Liposome,Active,Liver,Allograft Heterotopic,Spherical,2.2544821230006376,-28.740721986055444,11.949356354130343,0.3184197609357091
ONM,Other OM,Passive,Lung,Xenograft Heterotopic,Spherical,2.2407072473534724,16.60866074346883,11.225175763448018,0.28397869305437845
INM,Gold,Passive,Others,Xenograft Heterotopic,Spherical,2.3972206470917854,-17.029393702329223,4.379717293282563,6.700298065603265
ONM,Other OM,Active,Liver,Xenograft Heterotopic,Spherical,2.2421610088384583,-20.693172670249478,6.390904504784789,0.1336010695672449
INM,Other IM,Active,Brain,Xenograft Heterotopic,Others,2.255738009588226,30.098416110370934,1.1835523614419214,9.812541105108785
ONM,Liposome,Passive,Breast,Allograft Heterotopic,Rod,2.4370905677744936,-8.541980903441967,24.37256204686439,5.065784137153356
ONM,Polymeric,Passive,Ovary,Xenograft Heterotopic,Spherical,1.485934105726969,33.098814324787256,4.800871746476518,0.16446680193916885
INM,Gold,Passive,Ovary,Xenograft Heterotopic,Rod,1.4364414317159164,-2.3789359595640738,3.3895789841310524,0.7070050942504771
ONM,Polymeric,Passive,Breast,Allograft Heterotopic,Spherical,2.128504366973593,0.9093421589758703,37.05953744682925,0.4271792722407033
ONM,Polymeric,Active,Breast,Allograft Heterotopic,Spherical,1.979281857980961,-5.864534722444562,11.294724859882015,0.07677500778882282
INM,Gold,Passive,Pancreas,Allograft Heterotopic,Others,1.038951531685913,-10.35240343076704,6.705050865538709,0.3357975262007087
ONM,Liposome,Passive,Colon,Allograft Heterotopic,Spherical,2.1068957820199725,-3.5770487015416093,18.33548970670763,0.14595001597223245
INM,Other IM,Passive,Cervix,Xenograft Heterotopic,Rod,1.6458502890990603,-3.001127386500219,6.2516687462603295,1.5880899431222417
ONM,Liposome,Passive,Colon,Allograft Heterotopic,Spherical,1.8504634593066438,12.545182199010164,31.592626969198783,0.25700497451050514
INM,Gold,Active,Breast,Xenograft Heterotopic,Others,0.4313638,-11.028306653381913,5.944085906817256,0.6516845756731222
ONM,Polymeric,Passive,Skin,Xenograft Orthotopic,Spherical,1.1212969707926563,-14.089024317927926,57.860103640000005,3.2769012180813633
INM,Iron Oxide,Active,Brain,Xenograft Heterotopic,Spherical,1.648896582208677,41.22015893635661,11.804588288389052,0.756574621262659
INM,Gold,Passive,Breast,Allograft Heterotopic,Rod,2.279496948026756,16.59246418582222,1.3941174729453714,1.4963302530863483
ONM,Polymeric,Passive,Breast,Allograft Heterotopic,Spherical,1.9672122008875028,-4.4600821772232315,17.12035817012077,0.2641868421551848
ONM,Polymeric,Passive,Ovary,Xenograft Heterotopic,Spherical,2.1403132197192156,-2.6481250583349394,18.382105974872186,0.25138240148521035
INM,Gold,Passive,Prostate,Xenograft Heterotopic,Others,1.8690876012122266,-20.457506354794422,12.755300896709217,1.2521888819107394
ONM,Polymeric,Active,Lung,Xenograft Heterotopic,Plate,1.5579153694787957,-6.025510600568968,12.620547750262446,0.3836815969477902
ONM,Other OM,Passive,Lung,Xenograft Heterotopic,Plate,1.443978362615915,3.8216320169740667,19.956041844634363,0.5941776369096814
INM,Iron Oxide,Active,Lung,Xenograft Heterotopic,Spherical,2.0563575169792854,13.171610233393617,12.687672074288585,0.09408718968337067
INM,Other IM,Active,Pancreas,Xenograft Heterotopic,Plate,1.9185698836791836,24.486110547354254,4.05419700887661,0.2761802073706563
ONM,Other OM,Passive,Breast,Xenograft Heterotopic,Spherical,1.3255328547810175,-6.379055302675684,33.24393904255536,0.39757600772086055
INM,Gold,Passive,Prostate,Xenograft Heterotopic,Spherical,2.023250213550232,-18.937893036722453,47.828590848317624,0.20180065464775235
ONM,Polymeric,Passive,Colon,Allograft Orthotopic,Spherical,1.4382434413321652,-1.0368670654753565,0.548572563957181,0.14458322951947652
ONM,Polymeric,Active,Cervix,Xenograft Heterotopic,Spherical,1.3109896381676864,-14.695245622647185,5.595432220512097,1.5123917448995767
Hybrid,Gold,Passive,Pancreas,Xenograft Heterotopic,Others,1.5652707935426566,4.5050530413922525,3.6393244878916455,0.1852127847951536
ONM,Polymeric,Passive,Glioma,Allograft Orthotopic,Spherical,1.3715214907794877,-21.47513326749032,2.598395847468541,0.14452936476100217
ONM,Polymeric,Passive,Lung,Xenograft Heterotopic,Spherical,2.073488253709581,6.655288911898828,57.860103640000005,0.774077775570905
INM,Gold,Active,Brain,Xenograft Heterotopic,Spherical,1.9430345681475654,-9.105814219987415,12.285783694205644,0.28558155558222453
INM,Gold,Active,Skin,Xenograft Orthotopic,Rod,2.053302989659731,-28.421943621139942,12.969477290650497,0.14682340555629378
ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,2.201048336377963,-5.743818440197074,57.860103640000005,4.3436876085155225
ONM,Other OM,Passive,Breast,Xenograft Heterotopic,Rod,2.2356726091132924,-3.3935749295202697,4.654478046687252,0.5260425064229941
INM,Gold,Active,Skin,Xenograft Orthotopic,Others,1.2827317839396273,-14.69599987802203,4.895442247719465,0.19103247206874666
ONM,Other OM,Passive,Lung,Xenograft Heterotopic,Plate,2.323970641016922,-14.240303692133514,4.630345824008693,0.00866826012898899
ONM,Polymeric,Passive,Breast,Allograft Heterotopic,Spherical,2.0683713465299176,-2.1684992814916604,9.37218860908086,1.4312621632786393
ONM,Polymeric,Passive,Breast,Xenograft Heterotopic,Spherical,2.1127621728117862,8.190854856632733,0.2946492202915214,7.845998577349535
ONM,Liposome,Passive,Cervix,Xenograft Heterotopic,Spherical,2.0599730497552957,-55.32946711539077,13.11712142922737,0.5161412600596249
INM,Hybrid,Active,Skin,Allograft Heterotopic,Spherical,2.1120487332404045,-15.08914221573971,36.91612095700317,1.265958610173736
ONM,Other OM,Passive,Sarcoma,Allograft Orthotopic,Spherical,0.9998167758457432,-19.909471660708725,5.246826733807703,0.8653557036288064
ONM,Polymeric,Passive,Breast,Xenograft Orthotopic,Spherical,1.8654464429805697,-0.5237130689210903,8.43157940350516,0.2187278385234612
INM,Other IM,Passive,Lung,Xenograft Heterotopic,Others,2.1906908486740386,12.312141765363785,18.854681845315763,0.3731229559723774
ONM,Liposome,Passive,Liver,Allograft Heterotopic,Spherical,2.213371070152374,-43.25949301725804,9.55173413289144,0.000174073
INM,Other IM,Passive,Prostate,Xenograft Heterotopic,Spherical,1.0061793213304453,34.24968032377401,5.53166828566965,5.226366912918552
ONM,Polymeric,Passive,Pancreas,Xenograft Heterotopic,Rod,1.867941488674322,-22.255120980766513,4.012730283597402,0.4238121095679253
ONM,Liposome,Active,Breast,Allograft Heterotopic,Spherical,2.143212492789383,-14.399133246085182,1.3563634301622964,0.5248501274763442
ONM,Polymeric,Active,Brain,Xenograft Orthotopic,Spherical,1.5225562798228238,-23.532170790375233,12.780131667764039,0.27756427210346707
ONM,Polymeric,Passive,Liver,Allograft Orthotopic,Others,2.298002404257227,16.964467760145975,3.703147372670908,0.0007315005344219951
ONM,Other OM,Passive,Liver,Allograft Heterotopic,Rod,1.8687197283794756,-14.343718271135769,5.2898983931130426,0.18142600589218993
ONM,Other OM,Passive,Breast,Allograft Heterotopic,Rod,2.40073248174072,-9.059734909674619,24.511424956285254,0.5151621825877983
ONM,Other OM,Active,Cervix,Xenograft Heterotopic,Spherical,2.0446550946895177,4.985386318473649,1.274001991006164,0.9408407111066341
Hybrid,Hybrid,Passive,Breast,Allograft Heterotopic,Spherical,2.0995961068717763,-10.581422970891577,27.328446208527186,0.6684044393137145
ONM,Polymeric,Active,Breast,Xenograft Heterotopic,Spherical,1.5629017881186866,-42.60846447485727,2.1880820502817575,1.250762060567236
ONM,Other OM,Active,Pancreas,Xenograft Heterotopic,Plate,1.7193509337961237,-2.1269210370200096,5.1457528776546155,1.304800319876458
INM,Gold,Active,Pancreas,Xenograft Orthotopic,Rod,2.0117388625595107,-0.24673354947840664,5.167791807792018,7.160364520570312
ONM,Other OM,Active,Breast,Allograft Heterotopic,Rod,2.6086467909507687,-15.609265421306784,11.5368501115883,0.000174073
ONM,Hydrogel,Active,Brain,Xenograft Orthotopic,Spherical,1.8384081455972656,-16.31160782896879,12.269710514975575,0.49972527428834995
ONM,Polymeric,Active,Breast,Xenograft Heterotopic,Spherical,2.1764100343862864,-46.29549566481004,4.612478714091621,0.10262915432304325
Hybrid,Hybrid,Passive,Breast,Allograft Heterotopic,Spherical,2.127771476334766,-4.976404010253505,43.546963062167755,9.968918779500003
ONM,Other OM,Passive,Breast,Allograft Orthotopic,Rod,2.3333006135927867,0.0005093220553540334,33.62469803564849,8.580999985421034
ONM,Other OM,Active,Sarcoma,Allograft Orthotopic,Rod,1.9825280762239386,-23.27321389502149,3.646014437374,0.1488703955831741
INM,Other IM,Active,Prostate,Xenograft Heterotopic,Spherical,1.8573048240701577,-7.577468673724742,6.383553649188881,0.3126982964779734
INM,Other IM,Passive,Cervix,Xenograft Heterotopic,Spherical,0.5800629054592994,-11.734425404889542,5.229509649544449,1.9209471756564511
ONM,Polymeric,Passive,Colon,Xenograft Heterotopic,Spherical,0.7330018512093639,0.26848435973773577,57.860103640000005,0.40194789721748847
ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,1.784747938411614,-10.541818181083807,3.9028192446402112,0.46350610773876627
ONM,Other OM,Passive,Colon,Allograft Orthotopic,Spherical,2.2128341380231764,2.0781838814392444,52.47441769393841,0.10177415491975782
INM,Other OM,Passive,Breast,Allograft Orthotopic,Rod,1.7057722980972345,-21.230367395522116,1.0482722824868227,2.8618326317931353
INM,Gold,Passive,Ovary,Xenograft Heterotopic,Others,1.8636441090419242,37.41335444911806,47.81091268034004,0.620423426495363
ONM,Liposome,Passive,Colon,Allograft Heterotopic,Spherical,1.8498641782414305,-4.669336775839426,40.31896376824872,0.9890330802043641
ONM,Polymeric,Passive,Ovary,Xenograft Orthotopic,Spherical,0.6797215786490721,-1.85394457834792,23.38820965454264,0.2098157793746408
ONM,Other OM,Active,Breast,Xenograft Heterotopic,Plate,2.2698658748133185,-14.78285965952655,14.389694511221913,1.929500811328285
Hybrid,Polymeric,Active,Cervix,Xenograft Heterotopic,Spherical,1.8413219997786874,12.496478030990533,4.430316758943222,0.2404465734283443
INM,Other IM,Passive,Sarcoma,Allograft Orthotopic,Spherical,0.9155728144672559,-11.715946519749684,4.142372768026364,0.3055436214192957
ONM,Liposome,Active,Liver,Xenograft Heterotopic,Spherical,2.077875071596763,-42.49980325303618,10.921952782091275,0.000174073
INM,Gold,Passive,Prostate,Xenograft Heterotopic,Others,1.3622210911717902,-20.41533657726017,5.922730900686899,0.31661910261918086
INM,Gold,Active,Breast,Allograft Orthotopic,Spherical,1.502917608908353,-12.233433333827817,2.408890388389498,0.5504977751937921
ONM,Other OM,Passive,Colon,Allograft Heterotopic,Rod,2.4054153941913046,2.9288954241615466,33.38890431549751,0.19143114906904007
ONM,Dendrimer,Active,Breast,Xenograft Heterotopic,Spherical,0.9192845161455573,-11.728412582058123,1.35e-09,9.796979342045322
ONM,Polymeric,Passive,Breast,Xenograft Heterotopic,Spherical,2.090945567761897,-16.63822813580434,5.5633741712279114,0.3217653371968845
ONM,Other OM,Active,Breast,Xenograft Heterotopic,Spherical,1.7693968927426085,1.1635143608905913,4.435421201726083,0.1733241664721749
ONM,Dendrimer,Active,Sarcoma,Allograft Heterotopic,Spherical,0.8621509350341195,-4.842825709407649,0.15515215390981218,8.817566066619992
ONM,Polymeric,Passive,Skin,Allograft Orthotopic,Rod,1.7767348576206747,-12.512036557970585,3.461430778379226,0.33127765004370124
ONM,Liposome,Passive,Breast,Xenograft Heterotopic,Spherical,1.4703673690373873,-11.46367299565606,3.9335542002955055,0.5837488418828962
INM,Iron Oxide,Passive,Prostate,Xenograft Heterotopic,Spherical,1.855290590864565,-18.278611982188515,31.561883979868945,6.481170447710746
INM,Gold,Passive,Breast,Xenograft Heterotopic,Spherical,1.187806450003956,-3.381625691923693,0.7102493375498413,1.4808424204896053
ONM,Polymeric,Passive,Ovary,Allograft Orthotopic,Spherical,1.0274663956408605,1.5449770044756153,3.8819267234152575,0.22968170055943382
ONM,Hydrogel,Passive,Liver,Allograft Heterotopic,Spherical,2.114284982154496,-11.588999062767135,4.781614645778173,0.36435291616091475
INM,Gold,Passive,Brain,Xenograft Heterotopic,Others,2.2543658790136627,-4.052009035643717,4.677827877786624,0.6094482567104094
ONM,Other OM,Active,Colon,Allograft Heterotopic,Spherical,2.1694642475781083,-9.970750321617642,26.21994231593404,2.0167213195643416
